20-00239892-4;431231;IB;12110;01/01/2019;;N;N;;
20-00272721-9;1851188;CM;466320;01/01/2019;;N;N;;
20-00384312-3;500069;IB;12110;01/01/2019;;N;S;01/04/2022;
20-00384312-3;500069;IB;960990;01/01/2019;;N;S;01/04/2022;
20-00582758-3;11198;IB;110211;01/01/2019;;A;N;;
20-00582758-3;11198;IB;110212;01/01/2019;;A;N;;
20-00582758-3;11198;IB;11299;01/01/2019;;A;N;;
20-00582758-3;11198;IB;12110;01/01/2019;;A;N;;
20-00582758-3;11198;IB;12320;01/01/2019;;A;N;;
20-00591044-8;800118;IB;11331;01/01/2019;;N;S;01/04/2022;
20-00591044-8;800118;IB;492291;01/01/2019;;N;S;01/04/2022;
20-00591044-8;800118;IB;492299;01/01/2019;;N;S;01/04/2022;
20-00951731-7;336084;IB;12320;01/01/2019;;N;N;;
20-01734836-2;7953293;CM;139201;01/01/2019;;N;N;;
20-01734836-2;7953293;CM;139202;01/01/2019;;N;N;;
20-01734836-2;7953293;CM;139203;01/01/2019;;N;N;;
20-01734836-2;7953293;CM;139204;01/01/2019;;N;N;;
20-01734836-2;7953293;CM;139209;01/01/2019;;N;N;;
20-01734836-2;7953293;CM;469010;01/01/2019;;N;N;;
20-01734836-2;7953293;CM;469090;01/01/2019;;N;N;;
20-02003434-4;512961;CM;469010;01/01/2019;;N;N;;
20-02003434-4;512961;CM;469090;01/01/2019;;N;N;;
20-02089038-0;333859;IB;110211;01/01/2019;;N;S;01/04/2018;
20-02089038-0;333859;IB;110212;01/01/2019;;N;S;01/04/2018;
20-02089038-0;333859;IB;12110;01/01/2019;;N;S;01/04/2018;
20-02261953-6;506672;IB;110212;01/01/2019;;N;N;;
20-02261953-6;506672;IB;12110;01/01/2019;;N;N;;
20-02261953-6;506672;IB;12311;01/01/2019;;N;N;;
20-02261953-6;506672;IB;12320;01/01/2019;;N;N;;
20-02261953-6;506672;IB;477311;01/01/2019;;N;N;;
20-02261953-6;506672;IB;477320;01/01/2019;;N;N;;
20-02261953-6;506672;IB;681098;01/01/2019;;N;N;;
20-02653118-8;2615201;CM;14113;01/01/2019;;N;N;;
20-02653118-8;2615201;CM;14114;01/01/2019;;N;N;;
20-02653118-8;2615201;CM;14115;01/01/2019;;N;N;;
20-02653118-8;2615201;CM;492250;01/01/2019;;N;N;;
20-02653118-8;2615201;CM;492291;01/01/2019;;N;N;;
20-02653118-8;2615201;CM;492299;01/01/2019;;N;N;;
20-02889524-1;398624;IB;475410;01/01/2019;;N;S;01/10/2020;
20-02963301-1;2464102;CM;104011;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;106139;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;11112;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;11119;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;11211;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;11291;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;11299;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;12609;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;461011;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;461012;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;461013;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;461014;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;461019;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;462111;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;462112;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;462120;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;462131;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;462132;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;462190;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;469010;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;469090;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;492221;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;492229;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;492240;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;522010;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;522020;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;522091;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;522092;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;522099;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;681020;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;681098;01/01/2019;;N;N;;
20-02963301-1;2464102;CM;681099;01/01/2019;;N;N;;
20-03021378-6;8938297;CM;293011;01/01/2019;;N;N;;
20-03021378-6;8938297;CM;293090;01/01/2019;;N;N;;
20-03087079-5;321725;IB;681098;01/01/2019;;N;N;;
20-03218100-8;538687;IB;12110;01/01/2019;;N;N;;
20-03268645-2;497348;IB;12110;01/01/2019;;N;N;;
20-03269081-6;705691;IB;681098;01/01/2019;;N;S;01/04/2015;
20-03288048-8;623826;IB;12110;01/01/2019;;N;N;;
20-03296856-3;728330;IB;12110;01/01/2019;;N;N;;
20-03299529-3;490413;IB;12110;01/01/2019;;A;N;;
20-03307605-4;497881;IB;110211;01/01/2019;;N;S;01/01/2020;
20-03307605-4;497881;IB;110212;01/01/2019;;N;S;01/01/2020;
20-03307605-4;497881;IB;12110;01/01/2019;;N;S;01/01/2020;
20-03309268-8;800409;IB;12110;01/01/2019;;N;N;;
20-03310310-8;730891;IB;12110;01/01/2019;;N;N;;
20-03312432-6;449602;IB;110212;01/01/2019;;N;N;;
20-03312432-6;449602;IB;12110;01/01/2019;;N;N;;
20-03312432-6;449602;IB;12311;01/01/2019;;N;N;;
20-03312432-6;449602;IB;681099;01/01/2019;;N;N;;
20-03314138-7;306720;IB;12110;01/01/2019;;N;N;;
20-03316162-0;715565;IB;12110;01/01/2019;;N;N;;
20-03319324-7;38941;IB;12110;01/01/2019;;A;N;;
20-03319324-7;38941;IB;12320;01/01/2019;;A;N;;
20-03324767-3;338001;IB;477311;01/01/2019;;N;N;;
20-03324767-3;338001;IB;477320;01/02/2023;;N;N;;
20-03326091-2;495964;IB;472120;01/01/2019;;N;N;;
20-03326316-4;775417;IB;681098;01/01/2019;;N;N;;
20-03326779-8;283070;IB;12110;01/01/2019;;A;N;;
20-03326982-0;495042;IB;477490;01/01/2019;;N;S;01/01/2021;
20-03329559-7;20033295597;CM;329099;01/01/2019;;N;N;;
20-03329559-7;20033295597;CM;469090;01/01/2019;;N;N;;
